Country,name,1995,2005,2015,2025
India,Delhi,12407.372,18670.494,25703.168,32726.564
India,Mumbai,14309.845,17890.736,21042.538,25207.329
India,Kolkata,11924.423,13701.503,14864.919,17284.538
India,Bangalore,4744.376,6768.793,10087.132,13328.87
India,Chennai,5835.756,7325.395,9890.427,12570.348
India,Hyderabad,4824.77,6403.255,8943.523,11527.37
India,Ahmedabad,3789.741,5237.87,7342.85,9489.59
India,Surat,1983.52,3475.443,5650.011,7754.631
India,Pune,2978.152,4269.892,5727.53,7285.216
India,Jaipur,1826.013,2623.477,3460.701,4386.491
India,Lucknow,1906.006,2522.86,3221.817,4033.484
India,Kanpur,2293.535,2787.688,3020.795,3545.508
India,Coimbatore,1238.923,1717.784,2548.564,3390.333
India,Kozhikode,980.075,1560.254,2476.192,3383.562
India,Thrissur,804.521,1371.188,2329.122,3270.458
India,Nagpur,1849.294,2277.966,2675.072,3243.528
India,Malappuram,641.213,1194.213,2215.874,3223.002
India,Kannur,610.218,1148.281,2152.671,3144.388
India,Kochi,1304.323,1777.376,2416.003,3105.727
India,Indore,1313.646,1850.078,2440.756,3100.497
India,Patna,1330.688,1846.944,2209.547,2701.989
India,Bhopal,1227.77,1627.086,2101.61,2649.878
India,Thiruvananthapuram,964.507,1378.371,1964.59,2576.495
India,Agra,1094.806,1491.198,1966.249,2500.534
India,Vishakhapatnam,1167.544,1490.333,1935.252,2446.502
India,Vadodara,1272.759,1625.359,1975.092,2431.928
India,Vijayawada,913.832,1196.586,1759.772,2338.23
India,Nashik,886.4,1314.821,1779.212,2287.385
India,Rajkot,787.229,1155.163,1599.232,2075.987
India,Ludhiana,1182.952,1485.997,1715.979,2072.526
India,Kollam,462.063,808.475,1409.717,2006.26
India,Madurai,1131.778,1304.104,1593.148,1968.372
India,Meerut,975.185,1272.74,1550.35,1913.628
India,Raipur,553.385,858.497,1373.898,1890.406
India,Varanasi,1105.688,1303.941,1541.367,1880.159
India,Srinagar,832.606,1092.271,1428.526,1814.417
India,Jamshedpur,937.896,1198.236,1451.265,1788.009
India,Tiruppur,392.459,695.901,1230.309,1762.002
India,Aurangabad,707.54,1010.367,1344.253,1719.626
India,Jodhpur,742.725,968.398,1284.142,1641.039
India,Jabalpur,981.492,1180.047,1336.565,1604.446
India,Ranchi,712.086,968.644,1262.011,1601.724
India,Asansol,891.241,1153.96,1313.452,1579.935
India,Allahabad,927.972,1119,1294.851,1567.889
India,Amritsar,843.856,1082.722,1264.932,1537.692
India,Gwalior,778.545,961.217,1220.768,1534.138
India,Kota,604.379,820.636,1163.011,1526.751
India,Dhanbad,914.968,1119.25,1254.832,1500.85
India,Bareilly,663.788,829.238,1110.8,1426.49
India,Chandigarh,667.181,896.514,1134.471,1424.29
India,Durg-Bhilainagar,780.024,982.028,1129.433,1365.442
India,Tiruchirappalli,767.614,918.804,1105.99,1361.581
India,Mysore,707.766,866.223,1082.304,1352.38
India,Aligarh,554.171,763.449,1037.402,1340.345
India,Moradabad,520.485,739.072,1022.989,1331.518
India,Bhubaneshwar,504.198,746.754,999.369,1283.748
India,Guwahati,674.83,878.053,1042.044,1276.151
India,Hubli,704.748,850.9,1019.789,1253.921
India,Salem,646.715,818.192,1002.68,1243.918
India,Jalandhar,588.05,776.352,954.435,1185.914
India,Solapur,719.701,906.06,985.568,1166.533
India,Saharanpur,406.943,548.115,848.65,1155.962
India,Siliguri,303.38,559.274,831.913,1115.494
India,Warangal,512.379,650.145,853.639,1089.37
India,Dehradun,430.316,601.774,812.28,1048.303
India,Bhiwandi,478.784,669.248,792.708,971.692
India,Guntur,489.499,578.496,755.76,963.273
